SalePrice,BsmtQual,GarageArea,GrLivArea,TotalBsmtSF,1stFlrSF,OverallQual,Fireplaces,YearBuilt,GarageCars,2ndFlrSF,LotArea,BsmtFinSF1,YearRemodAdd,TotRmsAbvGrd,SaleCondition
208500,3,548,1710,856,856,7,0,2003,2,854,8450,706,2003,8,4
181500,3,460,1262,1262,1262,6,1,1976,2,0,9600,978,1976,6,4
223500,3,608,1786,920,920,7,1,2001,2,866,11250,486,2002,6,4
140000,4,642,1717,756,961,7,1,1915,3,756,9550,216,1970,7,4
250000,3,836,2198,1145,1145,8,1,2000,3,1053,14260,655,2000,9,4
143000,3,480,1362,796,796,5,0,1993,2,566,14115,732,1995,5,4
307000,1,636,1694,1686,1694,8,1,2004,2,0,10084,1369,2005,7,4
200000,3,484,2090,1107,1107,7,2,1973,2,983,10382,859,1973,7,4
129900,4,468,1774,952,1022,7,2,1931,2,752,6120,0,1950,8,4
118000,4,205,1077,991,1077,5,2,1939,1,0,7420,851,1950,5,4
129500,4,384,1040,1040,1040,5,0,1965,1,0,11200,906,1965,5,4
345000,1,736,2324,1175,1182,9,2,2005,3,1142,11924,998,2006,11,5
144000,4,352,912,912,912,5,0,1962,1,0,12968,737,1962,4,4
279500,3,840,1494,1494,1494,7,1,2006,3,0,10652,0,2007,7,5
157000,4,352,1253,1253,1253,6,1,1960,1,0,10920,733,1960,5,4
132000,4,576,854,832,854,7,0,1929,2,0,6120,0,2001,5,4
149000,4,480,1004,1004,1004,6,1,1970,2,0,11241,578,1970,5,4
90000,4,516,1296,0,1296,4,0,1967,2,0,10791,0,1967,6,4
159000,4,576,1114,1114,1114,5,0,2004,2,0,13695,646,2004,6,4
139000,4,294,1339,1029,1339,5,0,1958,1,0,7560,504,1965,6,4
325300,1,853,2376,1158,1158,8,1,2005,3,1218,14215,0,2006,9,5
139400,4,280,1108,637,1108,7,1,1930,1,0,7449,0,1950,6,4
230000,3,534,1795,1777,1795,8,1,2002,2,0,9742,0,2002,7,4
129900,3,572,1060,1040,1060,5,1,1976,2,0,4224,840,1976,6,4
154000,4,270,1060,1060,1060,5,1,1968,1,0,8246,188,2001,6,4
256300,3,890,1600,1566,1600,8,1,2007,3,0,14230,0,2007,7,4
134800,4,576,900,900,900,5,0,1951,2,0,7200,234,2000,5,4
306000,1,772,1704,1704,1704,8,1,2007,3,0,11478,1218,2008,7,4
207500,4,319,1600,1484,1600,5,2,1957,1,0,16321,1277,1997,6,4
68500,4,240,520,520,520,4,0,1927,1,0,6324,0,1950,4,4
40000,4,250,1317,649,649,4,0,1920,1,668,8500,0,1950,6,4
149350,4,271,1228,1228,1228,5,0,1966,1,0,8544,0,2006,6,4
179900,1,484,1234,1234,1234,8,0,2007,2,0,11049,0,2007,7,4
165500,4,447,1700,1398,1700,5,1,1959,2,0,10552,1018,1959,6,4
277500,1,556,1561,1561,1561,9,1,2005,2,0,7313,1153,2005,6,4
309000,1,691,2452,1117,1132,8,1,2004,3,1320,13418,0,2005,9,4
145000,3,672,1097,1097,1097,5,0,1994,2,0,10859,0,1995,6,4
153000,4,498,1297,1297,1297,5,1,1954,2,0,8532,1213,1990,5,4
109000,4,246,1057,1057,1057,5,0,1953,1,0,7922,731,2007,5,4
160000,4,440,1324,1088,1324,6,1,1965,2,0,8658,643,1965,6,4
170000,4,308,1328,1350,1328,5,2,1959,1,0,16905,967,1959,5,4
144000,3,504,884,840,884,5,0,1983,2,0,9180,747,1983,5,4
130250,3,308,938,938,938,5,0,1975,1,0,9200,280,1980,5,4
141000,4,300,1150,1150,1150,5,0,1959,1,0,7945,179,1959,6,4
319900,1,576,1752,1752,1752,9,1,2005,2,0,7658,456,2005,6,4
239686,1,670,2149,1434,1518,7,1,2003,2,631,12822,1351,2003,6,4
249700,3,826,1656,1656,1656,8,0,2006,3,0,11096,24,2006,7,4
113000,4,0,1452,736,736,4,0,1920,0,716,4456,0,2008,8,5
127000,4,386,955,955,955,5,0,1966,1,0,7742,763,1966,6,4
177000,3,388,1470,794,794,6,0,1997,2,676,13869,182,1997,6,4
114500,4,528,1176,816,816,6,1,1934,2,0,6240,0,1950,6,4
110000,3,516,816,816,816,5,0,1963,2,0,8472,104,1963,5,4
130000,4,572,1360,384,1360,5,1,1955,2,0,7134,384,1955,6,4
180500,4,576,1425,1425,1425,6,1,1964,2,0,10175,490,1964,7,4
172500,3,480,1739,970,983,8,0,1999,2,756,2645,649,2000,7,4
196500,3,565,1720,860,860,7,0,2004,2,860,11645,0,2004,7,4
124900,4,352,780,780,780,5,0,1972,1,0,7200,632,1972,4,4
158000,3,576,1158,1158,1158,6,0,2004,2,0,13072,941,2004,5,5
101000,4,288,1111,530,581,5,0,1920,1,530,7200,0,1996,6,4
202500,3,484,1370,1370,1370,8,1,2006,2,0,6442,24,2006,6,4
140000,4,480,1710,576,902,7,0,1921,2,808,10300,0,1950,9,4
219500,3,645,2034,1057,1057,7,0,1997,2,977,9375,739,1998,8,4
317000,1,852,2473,1143,1143,8,1,2004,3,1330,9591,0,2005,9,4
180000,3,576,2207,1947,2207,7,1,1970,2,0,19900,912,1989,7,4
226000,3,558,1479,1453,1479,7,0,2003,2,0,10665,1013,2003,7,4
80000,4,220,747,747,747,4,0,1945,1,0,4608,0,1950,4,4
225000,4,667,2287,1304,1304,7,1,1953,2,983,15593,603,1953,7,4
129500,4,360,845,845,845,4,0,1982,2,0,7599,565,2006,4,4
185000,3,427,1718,832,885,7,1,1998,2,833,10141,0,1998,7,4
144900,4,490,1086,1086,1086,5,0,1954,2,0,10200,320,2003,6,4
107400,2,379,1605,840,840,3,0,1915,1,765,5790,0,1950,8,4
91000,3,297,988,462,526,4,0,1973,1,462,1596,462,1973,5,4
135750,4,283,952,952,952,4,0,1956,1,0,8475,228,1956,4,4
127000,4,240,1285,672,1072,5,0,1948,1,213,8635,336,2001,6,4
136500,4,0,1768,1768,1768,4,0,1968,0,0,10778,0,1968,8,4
110000,4,440,1230,440,682,5,0,1910,2,548,10440,0,1981,5,4
193500,3,509,2142,896,1182,6,1,1968,1,960,13000,448,1968,8,4
153500,1,405,1337,1237,1337,6,0,1998,2,0,4500,1201,1998,5,4
245000,3,758,1563,1563,1563,8,1,2007,3,0,10206,33,2007,6,4
126500,4,461,1065,1065,1065,5,0,1960,2,0,8892,0,1960,6,4
168500,3,400,1474,384,804,7,1,1995,2,670,8530,0,1996,7,4
260000,3,462,2417,1288,1301,8,1,1991,2,1116,16059,0,1992,9,4
174000,3,400,1560,684,684,6,1,2005,2,876,11911,0,2005,6,4
164500,3,528,1224,612,612,6,0,2009,2,612,3951,0,2009,4,5
85000,4,0,1526,1013,1013,3,0,1915,0,0,8470,0,1982,6,4
123600,3,0,990,990,990,4,0,1994,0,0,8070,588,1995,5,4
109900,4,420,1040,0,1040,4,0,1950,2,0,7200,0,1950,4,4
98600,4,480,1235,1235,1235,5,0,1961,2,0,8500,600,1961,6,4
163500,3,432,964,876,964,5,0,1921,2,0,13360,713,2006,5,4
133900,4,506,2291,1214,1260,6,1,1910,2,1031,7200,1046,1998,9,4
204750,3,684,1786,824,905,6,0,1997,2,881,9337,648,1997,7,4
185000,3,420,1470,680,680,6,1,1993,2,790,9765,310,1993,6,4
214000,3,472,1588,1588,1588,7,0,1999,2,0,10264,1162,1999,6,4
94750,4,432,960,960,960,4,0,1965,1,0,10921,520,1965,6,4
83000,4,366,835,458,835,5,0,1920,1,0,10625,108,1950,5,4
128950,4,0,1225,950,1225,4,0,1959,0,0,9320,569,1959,6,4
205000,4,480,1610,1610,1610,6,2,1977,2,0,10603,1200,2001,6,4
178000,3,476,1732,741,977,6,1,1985,2,755,9206,0,1985,7,4
198900,3,740,1226,1226,1226,7,0,2009,3,0,10402,0,2009,6,4
169500,4,240,1818,1040,1226,7,2,1931,1,592,7758,224,1950,7,4
250000,1,648,1992,1053,1053,8,1,2003,2,939,9375,0,2004,9,4
100000,2,273,1047,641,1047,4,0,1885,1,0,10800,0,1995,6,4
115000,4,250,789,789,789,5,0,1948,1,0,6000,104,1950,5,5
115000,4,0,1517,793,997,5,0,1919,0,520,8500,0,2005,7,4
190000,3,546,1844,1844,1844,6,1,1977,2,0,11751,705,1977,7,4
136900,4,325,1855,994,1216,6,0,1954,1,639,9525,444,1972,7,4
180000,3,400,1430,384,774,7,1,2000,2,656,7750,250,2000,7,4
383970,1,792,2696,1264,1282,7,1,2007,3,1414,9965,984,2007,10,5
217000,3,450,2259,1809,2259,6,2,1953,2,0,21000,35,1953,7,4
259500,4,180,2320,1028,1436,6,1,1945,1,884,7259,774,2002,9,4
176000,3,440,1458,729,729,6,1,1999,2,729,3230,419,1999,5,4
139000,4,288,1092,1092,1092,5,1,1962,1,0,11616,170,1962,6,4
155000,3,430,1125,1125,1125,5,0,2006,2,0,8536,0,2007,5,5
163990,3,390,1456,728,728,6,1,2005,2,728,8461,0,2006,8,5
180000,4,540,988,938,988,6,2,1969,2,0,21453,938,1969,4,4
100000,4,264,1123,732,772,4,0,1939,1,351,6060,0,1950,4,4
136000,4,288,1080,1080,1080,6,0,1958,1,0,9464,570,1958,5,4
153900,3,530,1199,1199,1199,6,0,1993,2,0,7892,300,1993,5,4
181000,3,435,1586,1362,1586,6,1,1979,2,0,17043,0,1998,7,4
84500,4,0,754,520,520,6,0,1935,0,0,6780,490,1982,5,4
128000,3,440,958,1078,958,6,1,1976,2,0,4928,120,1976,5,4
87000,4,0,840,672,840,5,1,1930,0,0,4388,116,1950,5,4
155000,4,453,1348,660,660,6,1,1966,2,688,7590,512,1966,6,4
150000,4,750,1053,1008,1053,5,0,1958,2,0,8973,567,1991,6,4
226000,4,487,2157,924,1216,7,2,1966,2,941,14200,445,1966,8,4
244000,3,390,2054,992,1022,6,1,2000,2,1032,12224,695,2000,7,4
150750,4,624,1327,1063,1327,5,0,1959,2,0,7388,405,2002,7,4
220000,1,471,1296,1267,1296,8,0,2001,2,0,6853,1005,2002,6,4
180000,4,440,1721,1461,1721,5,1,1968,2,0,10335,570,1993,7,4
174000,4,530,1682,1304,1682,7,1,1970,2,0,10400,0,1970,7,4
143000,4,318,1214,1214,1214,5,1,1967,1,0,10355,695,1967,5,4
171000,4,766,1959,1907,1959,7,0,1988,3,0,11070,0,1989,9,3
230000,3,660,1852,1004,1004,8,2,1999,3,848,9066,668,2000,7,4
231500,3,470,1764,928,928,6,0,1997,2,836,15426,821,1997,7,4
115000,4,0,864,864,864,4,1,1971,0,0,10500,432,1971,5,4
260000,3,660,1734,1734,1734,7,0,2005,2,0,11645,1300,2005,7,4
166000,4,720,1385,910,910,5,0,1952,2,475,8520,507,1952,6,4
204000,3,577,1501,1490,1501,7,0,1999,2,0,10335,679,1999,6,4
125000,4,504,1728,1728,1728,5,0,1963,2,0,9100,1332,1963,10,4
130000,3,380,1709,970,970,6,0,2004,2,739,2522,0,2006,7,4
105000,4,180,875,715,875,5,0,1931,1,0,6120,209,1993,5,4
222500,3,434,2035,884,884,7,1,2001,2,1151,9505,0,2001,8,4
141000,3,0,1080,1080,1080,7,0,2004,0,0,7500,680,2005,6,4
115000,3,240,1344,896,896,5,0,1936,1,448,6240,0,1950,7,4
122000,4,440,969,969,969,5,0,1975,2,0,10356,716,1975,5,4
372402,1,866,1710,1710,1710,8,1,2007,3,0,13891,1400,2008,6,5
190000,4,495,1993,825,1097,6,1,1971,2,896,14803,416,1971,8,4
235000,3,564,1252,1602,1252,6,1,1960,2,0,13500,429,1975,4,4
125000,4,312,1200,1200,1200,6,0,1923,1,0,11340,0,1950,7,3
79000,4,0,1096,572,572,6,0,1924,0,524,9600,0,1950,5,4
109500,4,625,1040,0,1040,5,0,1950,2,0,7200,0,1950,5,4
269500,1,680,1968,774,774,8,1,2009,3,1194,12003,0,2010,8,5
254900,3,678,1947,991,991,7,1,2004,2,956,12552,222,2005,8,4
320000,3,576,2462,1392,1392,7,1,2005,2,1070,19378,57,2006,9,5
162500,3,516,1232,1232,1232,6,0,1984,2,0,11120,660,1984,6,4
412500,1,726,2668,1572,1572,9,2,2003,3,1096,13688,1016,2004,10,4
220000,3,532,1541,1541,1541,7,1,2005,2,0,12182,1201,2005,7,5
103200,4,0,882,882,882,4,0,1956,0,0,5500,0,1956,4,4
152000,4,216,1616,1149,1149,6,0,1926,1,467,5400,370,2004,5,4
127500,4,0,1355,644,808,5,0,1940,0,547,10106,351,1999,6,4
325624,1,789,2161,1582,1610,8,1,2007,3,551,10562,1288,2007,8,5
183500,3,440,1720,840,840,7,1,2004,2,880,8244,0,2004,7,4
228000,3,511,1707,1686,1707,8,1,1981,2,0,16669,0,1981,6,4
128500,4,660,1382,720,854,5,0,1941,2,0,12358,360,1950,7,4
215000,4,528,1656,1080,1656,6,2,1960,2,0,31770,639,1960,7,4
239000,3,504,1767,1064,1064,7,1,1987,2,703,5306,495,1987,5,4
163000,4,504,1362,1362,1362,6,1,1961,2,0,10197,288,1961,6,4
184000,3,616,1651,1606,1651,6,1,1986,2,0,12416,1398,1986,7,4
243000,4,576,2158,1202,2158,6,1,1950,2,0,12615,477,2001,7,4
211000,3,521,2060,1151,1164,6,1,1988,2,896,10029,831,1989,8,4
172500,4,451,1920,1052,1252,5,1,1958,2,668,13650,57,1958,8,4
100000,4,480,968,968,968,5,0,1923,2,0,8520,0,2006,5,4
177000,3,440,1525,756,769,6,1,2000,2,756,2117,436,2000,5,4
200100,2,216,1802,793,901,7,1,1920,1,901,7588,352,1950,9,4
120000,4,252,1340,0,1340,5,1,1957,1,0,9060,0,2006,7,4
200000,3,484,2082,1362,1362,7,0,2003,2,720,11426,0,2003,6,4
127000,2,576,1252,504,936,5,0,1908,2,316,7438,0,1991,5,4
173000,3,497,1217,1188,1217,7,0,1990,2,0,9947,611,1991,6,4
135000,2,180,1656,660,808,5,0,1916,1,704,10410,0,1987,8,4
286000,1,682,1593,1593,1593,8,1,2001,2,0,4923,1153,2002,5,4
315000,3,440,2727,853,1549,8,2,1932,2,1178,10570,297,1994,10,4
184000,4,484,1479,725,725,7,0,1972,2,754,7472,626,2004,7,4
192000,3,666,1431,1431,1431,7,0,1999,2,0,9017,560,1999,6,4
130000,3,380,1709,970,970,7,0,2004,2,739,2522,0,2004,7,4
127000,4,352,864,864,864,5,0,1972,1,0,7180,390,1972,5,4
148500,3,440,1456,855,855,6,1,1976,2,601,2280,566,1976,7,4
311872,1,786,1726,1726,1726,7,1,2007,3,0,9416,1126,2007,8,5
104000,4,0,2229,755,929,6,0,1912,0,929,5520,0,1950,8,4
274900,1,856,1713,1713,1713,8,1,2004,3,0,9591,1088,2005,7,4
140000,3,440,1121,1121,1121,4,0,2003,2,0,8546,0,2004,5,4
171500,4,473,1279,1196,1279,6,2,1977,2,0,10125,641,1977,6,4
112000,2,398,1310,617,865,6,0,1924,1,445,7000,617,1950,6,4
149000,3,420,848,848,848,6,1,2004,2,0,4438,662,2004,3,4
110000,4,240,1284,720,720,5,0,1947,1,564,3500,312,1950,5,4
180500,3,500,1442,1424,1442,7,0,1990,2,0,11851,0,1990,5,4
143900,4,349,1696,1140,1696,5,1,1962,1,0,13673,0,1962,8,4
141000,4,312,1100,1100,1100,4,1,1960,1,0,12493,419,1960,6,4
277000,3,454,2062,1157,1180,7,1,1988,2,882,14364,1065,1989,7,4
145000,3,504,1092,1092,1092,6,0,1964,2,0,8250,787,1964,6,4
98000,4,0,864,864,864,5,0,1925,0,0,5604,468,1950,5,4
186000,3,460,1212,1212,1212,6,0,2009,2,0,10420,36,2009,6,4
252678,3,644,1852,900,932,7,1,2009,2,920,8640,822,2009,7,5
156000,3,576,990,990,990,5,0,1995,2,0,13568,716,1995,5,4
161750,3,299,1392,689,689,6,0,1977,1,703,10900,378,1977,6,4
134450,4,447,1236,1070,1236,5,1,1957,1,0,10011,360,1996,6,4
210000,3,484,1436,1436,1436,7,0,2004,2,0,8450,946,2004,8,4
107000,4,210,1328,686,810,4,0,1925,1,518,9906,0,1950,8,3
311500,4,431,1954,798,1137,7,2,1939,2,817,15660,341,2006,8,4
167240,3,438,1248,1248,1248,7,0,2005,2,0,3010,16,2006,5,5
204900,3,675,1498,1498,1498,7,0,2006,2,0,8990,0,2006,5,5
200000,3,390,2267,1010,1010,6,1,2002,2,1257,8068,0,2002,8,4
179900,3,434,1552,713,811,6,1,1975,2,741,11475,550,1975,6,4
97000,4,576,864,864,864,4,0,1971,2,0,10500,524,1971,4,4
112000,4,280,1302,630,630,5,0,1971,1,672,1680,0,1971,6,4
290000,3,721,2520,1203,1214,7,1,1995,3,1306,9950,565,1995,9,4
106000,4,280,987,483,483,6,0,1970,1,504,1869,321,1970,5,4
125000,4,336,912,912,912,5,1,1967,1,0,8521,842,1967,5,4
192500,3,430,1555,1373,1555,7,1,2005,2,0,3182,16,2006,7,4
148000,4,312,1194,1194,1194,6,0,1959,1,0,8760,0,1959,6,4
403000,3,810,2794,1462,1490,8,1,1995,3,1304,15138,689,1996,9,4
94500,4,288,987,483,483,6,1,1972,1,504,1680,0,1972,5,4
128200,4,308,894,894,894,5,0,1976,1,0,10650,182,1976,5,4
216500,3,440,1960,860,860,6,2,2002,2,1100,7851,625,2002,8,4
89500,4,264,987,483,483,6,0,1971,1,504,1680,358,1971,5,4
185500,3,494,1414,1414,1414,7,0,2004,2,0,8773,24,2004,6,4
194500,3,457,1744,996,1014,7,0,1993,2,730,9453,402,2003,7,4
318000,1,818,1694,1694,1694,8,0,2007,3,0,12030,0,2007,7,5
113000,4,220,1487,735,798,6,1,1945,1,689,8741,94,1950,7,4
262500,3,750,1566,1566,1566,8,0,2008,2,0,9000,1078,2008,7,4
110500,4,0,866,686,866,5,0,1945,0,0,3880,329,1997,4,4
79000,4,352,1440,540,889,5,0,1900,1,551,5000,0,1950,6,4
120000,3,288,1217,626,626,6,1,1980,1,591,10762,0,1980,6,4
205000,3,463,2110,948,1222,7,2,1994,2,888,8880,695,2002,8,4
241500,3,604,1872,1845,1872,7,1,1988,2,0,10400,929,1988,6,4
137000,2,440,1928,1020,908,6,0,1910,1,1020,9142,0,1950,9,4
140000,4,451,1375,1367,1375,6,1,1954,2,0,11310,0,1954,5,4
180000,3,500,1668,840,840,7,0,2003,2,828,11317,0,2003,8,4
76500,4,0,1306,728,1306,3,0,1940,0,0,5350,0,1966,6,4
235000,3,538,1625,1573,1625,8,1,2006,2,0,4750,1573,2007,5,3
173000,3,520,1640,798,798,6,0,2004,2,842,8366,0,2004,6,4
158000,3,309,1302,1302,1302,6,0,1964,1,0,9350,270,1991,7,4
145000,4,294,1314,1314,1314,5,0,1957,1,0,8400,922,1957,5,4
230000,3,429,2291,975,1005,7,1,1999,2,1286,8738,0,1999,8,4
207500,3,673,1728,864,864,6,0,2003,2,864,8791,503,2003,7,4
220000,3,660,1604,1604,1604,7,1,2006,2,0,8814,1334,2006,8,4
231500,3,564,1792,963,963,7,1,2001,2,829,12435,361,2001,7,4
97000,4,308,882,0,882,5,0,1956,1,0,12702,0,1956,4,4
176000,4,884,1382,1362,1382,6,1,1962,2,0,19296,672,1962,6,4
276000,1,868,2574,1482,1482,8,1,2007,3,1092,9588,0,2007,10,5
151000,3,492,1212,506,1212,6,1,1977,2,0,8471,506,1995,6,4
130000,4,484,1316,926,926,5,0,1929,2,0,5500,234,2001,6,4
73000,2,504,764,680,764,5,0,1925,2,0,5232,0,2004,4,4
175500,3,576,1422,1422,1422,6,1,1981,2,0,12090,588,1981,7,4
185000,3,413,1511,802,802,6,1,1997,2,709,11207,714,1997,8,4
179500,4,240,2192,720,1052,5,1,1939,1,720,8400,378,1997,8,4
120500,4,924,778,740,778,5,1,1940,1,0,6900,403,1955,4,4
148000,4,504,1113,1143,1113,6,1,1976,1,0,7917,751,1976,6,4
266000,3,1053,1939,1095,1095,8,1,2006,3,844,10728,0,2006,8,5
241500,3,439,1363,1385,1363,7,2,1954,2,0,39104,226,2005,5,4
290000,3,671,2270,1152,1164,8,1,1999,3,1106,11764,524,2007,9,4
139000,4,338,1632,1240,1632,6,1,1958,1,0,9600,620,1988,6,4
124500,4,264,816,816,816,5,0,1982,1,0,8314,546,1982,5,4
205000,4,672,1548,952,952,7,0,1925,2,596,7264,0,2007,5,4
201000,1,573,1560,1560,1560,7,0,2003,2,0,9196,0,2003,7,4
141000,4,400,864,864,864,4,0,1951,2,0,19138,120,1951,4,4
415298,1,732,2121,2121,2121,9,1,2006,3,0,14450,0,2007,8,5
192000,3,505,2022,1160,1156,7,1,1977,2,866,10005,392,1977,8,4
228500,3,575,1982,807,1175,7,1,1989,2,807,11287,421,1989,7,4
185000,3,572,1262,1262,1262,6,0,2006,2,0,7200,905,2006,5,5
207500,3,626,1314,1314,1314,7,1,2007,2,0,5063,904,2008,6,4
244600,3,898,1468,1468,1468,8,1,2008,3,0,9612,0,2009,6,5
179200,3,529,1575,1575,1575,6,0,1992,2,0,8012,430,1992,5,4
164700,3,528,1250,625,625,7,0,2006,2,625,4251,0,2007,5,5
159000,4,440,1734,912,1085,6,1,1962,2,649,9786,600,1981,7,4
88000,4,0,858,858,858,4,0,1971,0,0,8125,614,1971,5,4
122000,4,280,900,882,900,5,0,1967,1,0,9819,450,1967,5,4
153575,4,384,1396,698,698,6,0,1915,1,698,8730,0,2003,7,4
233230,3,685,1919,1079,1079,8,1,2006,2,840,15611,0,2006,8,5
135900,4,0,1716,780,936,5,0,1912,0,780,5687,210,2000,9,4
131000,4,281,1716,768,1148,5,1,1949,1,568,11409,292,2008,8,4
235000,4,539,2263,795,1468,7,1,1977,2,795,16659,795,1994,9,4
167000,4,418,1644,1416,1644,6,2,1953,2,0,9600,1285,1953,7,4
142500,4,588,1003,1003,1003,6,0,1984,2,0,7937,819,1984,6,4
152000,4,282,1558,910,910,5,0,1950,1,648,13710,420,1950,6,4
239000,3,576,1950,975,975,7,1,1997,2,975,7399,649,1998,7,4
175000,4,539,1743,702,1041,6,1,1968,2,702,11700,384,1968,7,4
158500,4,300,1152,1092,1152,6,1,1950,1,0,14000,0,2004,6,3
157000,4,375,1336,1165,1336,5,2,1953,1,0,15750,841,1953,5,4
267000,3,683,2452,1028,1210,8,1,1998,2,1242,16226,281,1999,9,4
205000,3,843,1541,1541,1541,7,1,2001,3,0,13704,0,2002,6,4
149900,4,552,894,894,894,5,0,1972,2,0,9800,894,1972,5,4
305900,3,888,2000,2000,2000,8,0,2004,3,0,10386,1464,2005,8,4
225000,3,746,2243,700,1122,7,1,1990,3,1121,13474,700,1991,8,4
89500,4,0,1406,319,1035,6,0,1920,0,371,7920,0,1950,6,4
82500,4,539,861,861,861,4,0,1940,2,0,12342,262,1950,4,4
165600,3,420,1501,697,697,6,1,1993,2,804,7685,518,1994,6,4
132000,4,240,972,972,972,6,1,1948,1,0,8000,680,2002,5,4
119900,3,410,1118,793,793,5,1,1939,2,325,7800,507,1950,5,4
178000,4,546,1641,728,832,7,1,1925,2,809,9600,16,1990,6,4
188500,3,432,1432,716,716,7,1,2004,2,716,7795,425,2005,6,4
260000,3,484,2353,845,1153,7,1,1980,2,1200,13005,692,1980,10,4
270000,3,1025,1959,1088,1088,8,1,2006,3,871,9000,0,2006,8,4
260000,3,656,2646,1347,1372,7,1,1993,3,1274,9900,987,1993,9,4
187500,3,588,1472,1372,1472,7,2,1980,2,0,14115,1036,1980,6,4
342643,1,840,2596,1249,1249,9,0,2006,3,1347,16259,0,2006,9,5
354000,1,872,2468,1136,1136,8,1,2004,3,1332,12099,970,2004,10,4
301000,4,576,2730,1502,1553,7,1,1986,2,1177,10380,28,1987,8,4
126175,4,220,1163,1162,1163,3,0,1955,1,0,5820,256,2005,6,4
242000,3,564,2978,710,1898,7,1,1967,2,1080,11275,0,2007,11,4
87000,4,360,803,720,803,5,0,1941,2,0,5000,116,1950,5,4
324000,3,473,1719,1719,1719,8,2,1993,2,0,10846,1619,1993,6,4
145250,4,292,1383,1383,1383,6,0,1960,1,0,11600,565,1960,7,4
214500,4,441,2134,844,1445,6,0,1916,2,689,11888,0,1994,10,4
78000,4,189,1192,596,596,5,0,1920,1,596,6402,0,1950,6,4
119000,4,352,1728,1728,1728,5,0,1964,1,0,10624,40,1964,10,4
139000,4,308,1056,1056,1056,5,0,1958,1,0,8176,846,1992,6,4
207000,3,484,1358,1358,1358,7,1,2004,2,0,8198,720,2004,6,4
192000,3,472,1638,943,943,6,2,1998,2,695,9042,828,1998,7,4
377426,1,676,1922,1922,1922,9,1,2005,3,0,14157,1249,2006,8,4
214000,3,532,1536,1536,1536,7,0,2002,2,0,9135,810,2003,7,4
202500,3,440,1621,1208,1621,7,0,1984,2,0,14145,213,1998,8,4
155000,4,297,1215,1215,1215,6,0,1958,1,0,12400,585,1998,6,4
202900,3,431,1908,967,993,8,0,2002,2,915,14191,0,2002,9,4
82000,4,294,841,721,841,4,0,1950,1,0,8400,0,1950,4,4
87500,4,400,1040,0,1040,3,0,1949,2,0,8544,0,1950,6,4
266000,1,564,1684,1684,1684,9,1,2005,2,0,8849,28,2005,6,4
85000,3,336,1112,536,536,5,0,1976,1,576,2592,129,1976,4,4
140200,4,312,1577,972,972,6,1,1939,1,605,6435,0,1950,6,4
151500,4,301,958,958,958,6,0,1960,1,0,12772,498,1998,5,4
157500,4,498,1478,1478,1478,6,2,1960,2,0,17600,1270,1960,6,4
